HA Crypto Terminal
更新時間：2026-06-30 23:08:10 台灣時間
選單：考試幣
排序：依「距離中軌%」距離近的排序（預設）
snapshot_hash：8cff24beb8bdc195718ff4f4b27d365d9df9b15905843501e558068a2e90ed48

=== 機械式候選分組，非直接買賣建議 ===

[near_midline]
RAY | price=0.609 | bb_pct=-0.5064531939 | abs_dev=0.5064531939 | 1D當=🔴 | 4H前=🔴 | 4H當=🔴
GLM | price=0.1059 | bb_pct=0.7228457295 | abs_dev=0.7228457295 | 1D當=🟢 | 4H前=🟢 | 4H當=🟢
HYPE | price=64.76 | bb_pct=-0.8944899724 | abs_dev=0.8944899724 | 1D當=🟢 | 4H前=🔴 | 4H當=🔴
AVAX | price=6.43 | bb_pct=-0.9015951298 | abs_dev=0.9015951298 | 1D當=🟢 | 4H前=🔴 | 4H當=🔴
TRX | price=0.3167 | bb_pct=-1.7070142768 | abs_dev=1.7070142768 | 1D當=🔴 | 4H前=🔴 | 4H當=🔴
TIA | price=0.3632 | bb_pct=-1.7834205438 | abs_dev=1.7834205438 | 1D當=🔴 | 4H前=🔴 | 4H當=🔴
GMX | price=5.55 | bb_pct=-1.8394057305 | abs_dev=1.8394057305 | 1D當=🟢 | 4H前=🟢 | 4H當=🟢
RPL | price=1.34 | bb_pct=-2.0825721593 | abs_dev=2.0825721593 | 1D當=🔴 | 4H前=🔴 | 4H當=🔴
ASTER | price=0.624 | bb_pct=-2.1022905554 | abs_dev=2.1022905554 | 1D當=🔴 | 4H前=🔴 | 4H當=🔴
KAS | price=0.03075 | bb_pct=2.2852010777 | abs_dev=2.2852010777 | 1D當=🟢 | 4H前=🟢 | 4H當=🟢
BCH | price=196.8 | bb_pct=-2.3106897322 | abs_dev=2.3106897322 | 1D當=🟢 | 4H前=🟢 | 4H當=🔴
SOL | price=72.61 | bb_pct=2.4335190802 | abs_dev=2.4335190802 | 1D當=🟢 | 4H前=🔴 | 4H當=🔴
OKB | price=78.21 | bb_pct=2.7058614961 | abs_dev=2.7058614961 | 1D當=🟢 | 4H前=🔴 | 4H當=🔴
PAXG | price=4035.19 | bb_pct=-2.8238984638 | abs_dev=2.8238984638 | 1D當=🔴 | 4H前=🟢 | 4H當=🟢
PENDLE | price=1.292 | bb_pct=-2.8936490041 | abs_dev=2.8936490041 | 1D當=🟢 | 4H前=🔴 | 4H當=🔴
JUP | price=0.2076 | bb_pct=3.4302369031 | abs_dev=3.4302369031 | 1D當=🔴 | 4H前=🔴 | 4H當=🔴
CAKE | price=1.302 | bb_pct=-3.5305449561 | abs_dev=3.5305449561 | 1D當=🔴 | 4H前=🔴 | 4H當=🔴
AXS | price=0.965 | bb_pct=-3.6445332002 | abs_dev=3.6445332002 | 1D當=🔴 | 4H前=🔴 | 4H當=🔴
ETC | price=6.94 | bb_pct=-3.8381599002 | abs_dev=3.8381599002 | 1D當=🔴 | 4H前=🔴 | 4H當=🔴
LTC | price=41.7 | bb_pct=-4.0165726781 | abs_dev=4.0165726781 | 1D當=🔴 | 4H前=🔴 | 4H當=🔴

[bullish_above_midline]
GLM | price=0.1059 | bb_pct=0.7228457295 | abs_dev=0.7228457295 | 1D當=🟢 | 4H前=🟢 | 4H當=🟢
KAS | price=0.03075 | bb_pct=2.2852010777 | abs_dev=2.2852010777 | 1D當=🟢 | 4H前=🟢 | 4H當=🟢
PYTH | price=0.0396 | bb_pct=8.6568802305 | abs_dev=8.6568802305 | 1D當=🟢 | 4H前=🟢 | 4H當=🟢

[rebound_watch]
GLM | price=0.1059 | bb_pct=0.7228457295 | abs_dev=0.7228457295 | 1D當=🟢 | 4H前=🟢 | 4H當=🟢
GMX | price=5.55 | bb_pct=-1.8394057305 | abs_dev=1.8394057305 | 1D當=🟢 | 4H前=🟢 | 4H當=🟢
KAS | price=0.03075 | bb_pct=2.2852010777 | abs_dev=2.2852010777 | 1D當=🟢 | 4H前=🟢 | 4H當=🟢
PAXG | price=4035.19 | bb_pct=-2.8238984638 | abs_dev=2.8238984638 | 1D當=🔴 | 4H前=🟢 | 4H當=🟢
